Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
1931/1/31,5.53,6.62,6.43,16.19,1.78,8.77,-0.22,8.23,-0.7,13.33,6.05,3.01,5.6,5.05,7.05,11.11,6.96,14.16,4.84,5.53,4.79,5.81,5.81,2.89,11.59,4.87,7.22,7.05,18.59,17.64
1931/2/28,7.04,16.75,6.94,8.43,2.1,6.21,2.92,7.81,13.58,15.44,14.33,14.35,11.77,25.06,17.3,11.5,14.16,-0.64,6.13,15.27,5.95,2.02,14.52,12.79,2.3,-2.05,15.33,11.11,17.06,16.25
1931/3/31,-2.54,-26.68,0.22,-6.32,-1.61,-3.73,1.31,1.8,-7.25,-3.1,-6.18,-7.34,-8.22,-7.97,-4.18,-7.96,-6.71,-12.9,-14.33,-2.94,-3.58,1.09,-7.11,-0.43,-10.44,-3.13,-3.25,-5.48,-8.48,17.11
1931/4/30,-8.47,-20.75,2.69,-27.33,-9.81,-4.25,-8.21,-3.62,-12.83,-12.13,-13.84,-17.27,-15.77,-14.63,-7.72,-16.6,-12.84,-9.93,-13.64,-9.04,-4.25,-1.33,-7.99,-8.25,-7.28,-4.38,-4.5,-12.66,-15.19,-18.64
1931/5/31,-12.21,-9.66,-11.13,-23.78,-10.67,-10.94,-0.49,-10.26,-12,-7.56,-15.74,-20.72,-19.02,-11.47,-15.88,-16.57,-8.6,-18.65,-12.19,-11.15,-8.94,-50.65,-17.18,-15.08,-17.16,-15.2,-2.91,-6.22,-18.93,-7.61
1931/6/30,10.56,10.21,12.63,22.63,1.7,8.53,11.65,9.69,19.44,8.41,14.81,19.38,12.3,18.57,15.14,21.38,6.98,22.25,17.32,11,10.21,1.55,19.07,15.38,16.08,2.79,8.02,5.12,23.38,13.97
1931/7/31,-4.01,-9.96,-3.49,-8.79,-3.03,-1.71,-3.31,2.61,-6.31,-5.64,-10.06,-15.15,-12.17,-10.31,-2.38,-9.07,-8.12,-16.17,-2.99,-5.39,-4.87,-1.53,-10.58,-12.72,-10.47,-8.11,-1.19,-8.18,-8.72,1.72
1931/8/31,1.47,13.82,-3.51,7.08,-6.23,-1.05,-2.4,0.39,1.37,0.31,-2.95,0.56,-1.73,3.8,-2.66,-3.05,2.57,-2.89,10.02,-1.74,0.82,0.19,3.43,0.91,-6.8,1.37,3.11,1.1,0.38,-0.34
1931/9/30,-28.38,-25.17,-21.7,-42.49,-22.13,-34.97,-8.39,-29.45,-30.42,-21.6,-31.27,-27.14,-33.35,-34.53,-34.88,-30.94,-31.79,-29.69,-29.84,-33.05,-21.56,-16.66,-31.79,-23.64,-20.67,-26.12,-30.41,-27.17,-39.89,-26.35
1931/10/31,10.65,25.18,6.08,18.98,-17.95,16.27,-2.47,11.26,4.91,2.77,5.56,2.07,9.08,11.76,12.28,13.23,18.71,1.9,14.48,10.48,4.34,2.41,9.9,11.58,-3.06,7.37,14.2,11.11,11.97,4.74
1931/11/30,-3.03,-10.66,-6.1,-30.43,-10.25,-7.65,-1.31,-2.79,-5.11,-10.14,-9.91,-10.1,-7.26,-15.87,-3.68,-12.97,-15.32,-17.73,-8.38,-4.77,-6.86,-3.16,-8.83,-9.76,-21.32,-17.78,-9.12,-14.57,-11.1,-4.22
1931/12/31,-10.3,-7.83,-6.26,-30.35,-21.02,-9.18,-14.21,-4.1,-6.29,-6.59,-17.54,-25.59,-17.43,-14.21,-8.25,-16.76,-12.85,-22.72,-18.79,-13.24,-7.94,-21.42,-11.61,-12.15,-14.85,-22.33,-15.17,-13.32,-20.97,-13.59
1932/1/31,-1.5,-5.91,8.17,16.99,-5.31,1.39,4.71,-2.66,-5.85,1.05,-1.16,3.36,1.48,-14.21,-7.85,12.35,1.41,5.78,-5.17,-2.52,-4.04,-0.8,-3.56,-0.74,7.96,-0.28,0.93,-3.86,3.84,5.34
1932/2/29,7.46,17.8,3.28,6.23,-1.24,2.93,0.97,2.05,8.89,3.12,10.3,5.03,-1.35,8.59,2.02,1.63,-1.94,-3.5,9.15,7.04,11.63,2.09,0.51,11.6,-4.08,3.82,4.03,7.43,13.57,3.46
